frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow
0,0.6346849744672922,-0.06230376934522133,0.30283570753487116,0.020812152537249967,0.01813897981424447,-0.7272479386235471,0.6858194131736627,-0.23602195517042612,0.08725618807758631,0.29961440100071923,0.18201414606400726,-0.030559948867589913,0.0,-0.2111390460476171,-0.11006248905876231,-0.4086680682682181,0.21319817676733066,-0.03237456779087344,0.0,-0.14854182335027377,1.6657488473097914,0.02469986747663746,-0.2466805828263972,-0.2517322139626081,-1.6309614799690069,-0.0762394255978873,-0.28484517394304665
1,0.6353297085291543,-0.060987273046401815,0.3007039714704424,0.04424732541630776,0.0437519258553881,-0.7302215957431573,0.6803707550209416,-0.36067081002933,0.11232507240363439,0.30411110290613874,0.273681606299307,-0.06403292350369327,0.0,-0.34451199446854297,-0.1254500487029488,-0.39197464828124035,0.30967106726318516,-0.06209591935746664,0.0,-0.1927665305010988,1.6851102728728031,0.05317250084723282,-0.2182812670112021,-0.3596479586129224,-1.6109851790043501,-0.09572256879333157,-0.3104375846164779
2,0.6354206888717685,-0.06069510259303003,0.3002553612630425,0.049512754266875715,0.04911204041710812,-0.7300061642067271,0.6798731461612223,-0.3859895401000443,0.11586749661522612,0.30281828063922056,0.28783281959901286,-0.06797865930141386,0.0,-0.36933626084458393,-0.12826476924199037,-0.39065971020557266,0.32329353127395516,-0.06558827285190119,0.0,-0.21584869206526439,1.6866062128252501,0.04833526834486277,-0.21760555447719346,-0.3822040896656221,-1.6094389881785132,-0.09372709305581552,-0.309747022232682
3,0.6354395651058209,-0.060568221383380846,0.3001629830935781,0.05062931831121474,0.05027338568795636,-0.7298919381005613,0.679828667764621,-0.3910766032155968,0.11646980688197908,0.3023070763299782,0.2894400310471456,-0.06796715836295969,0.0,-0.37444316427090324,-0.1287138286068672,-0.39056190031715377,0.325362146530606,-0.06582518326021826,0.0,-0.2222296688056561,1.6871494352748106,0.04653755182853498,-0.21732261688516,-0.3877388935317439,-1.6091680046143828,-0.0920684779130204,-0.30876625558745163
4,0.6354528474488701,-0.060481518363662445,0.3001338500694795,0.05074986004477762,0.0504852650788677,-0.7298392217809822,0.6798605739896113,-0.3920918878052613,0.11664707768572444,0.3019283361696547,0.28952250789368594,-0.0677191326752393,0.0,-0.37539386600828417,-0.12869103176771984,-0.3906208051864077,0.32561229519940027,-0.06569896156404946,0.0,-0.2241235295456082,1.6877767621672115,0.04616950211251773,-0.21699906848721617,-0.3890438078253564,-1.609005630346169,-0.09137721475152047,-0.30794078813912723
5,0.6354715666582463,-0.06040004601134051,0.3001111859833221,0.05058044529082889,0.050459146811021975,-0.7298035117425992,0.6799134704544809,-0.3923342067779192,0.11681629196515775,0.30149755212388285,0.2897948660914771,-0.06764845398097989,0.0,-0.3753706257319852,-0.12854218257661945,-0.3907309011975804,0.325657587570669,-0.06558024686930944,0.0,-0.2247350154502026,1.6885771952493538,0.04626787208840655,-0.21669577092602255,-0.3892951646692382,-1.6088537849822282,-0.09101870839199885,-0.3073407469850617
6,0.6355030255276959,-0.06031250824456945,0.30009089149095797,0.05028095278497585,0.05032757834028936,-0.7297598002993125,0.6799923488632398,-0.39215640723483763,0.11688996554491837,0.3011580490742411,0.2899377343406051,-0.06750999954486006,0.0,-0.3749343488422222,-0.12840440133960068,-0.39092041378803427,0.3256642653661261,-0.06546616217116631,0.0,-0.22485783760147554,1.6896217633842752,0.04660209107847095,-0.21652046646070905,-0.3901893110806557,-1.6084742052825005,-0.09059658476719418,-0.30691777523648184
7,0.6354737368671468,-0.06029157384326768,0.3001009325568063,0.04998801870429172,0.050073974972336385,-0.7297615609815956,0.680030778075666,-0.39130371786707674,0.11707480609878498,0.30091971655193384,0.2897139628607814,-0.06751132973770578,0.0,-0.37414730660264395,-0.12832009837740416,-0.3909219414584664,0.3257228315852339,-0.06559459311589846,0.0,-0.22498536125243987,1.6905618390653763,0.04703094027959112,-0.21637843135087306,-0.3904222182089154,-1.608263780119612,-0.09056199513573014,-0.306890248353802
8,0.635455001643347,-0.06026763407259771,0.30011148833089124,0.04963500686103218,0.04972265432518901,-0.7297825361813497,0.6800599044389258,-0.3900941079787317,0.11713782344648789,0.3008086068526298,0.28932608616314986,-0.06748353149730187,0.0,-0.3731956918530781,-0.12832849896849322,-0.390889619659095,0.3259201203017467,-0.0657856107055353,0.0,-0.22516299027637818,1.6910257005978666,0.04745809008325426,-0.21632477905386477,-0.3905751798818272,-1.6081498343649154,-0.09083667570018945,-0.3071441218364241
9,0.6354420004741411,-0.060231940384883026,0.3001159224198049,0.0492605072487821,0.04929061570187246,-0.7298262794475535,0.6800716428855609,-0.3886700335171108,0.11708032710830832,0.300853321730156,0.2888528124470329,-0.06744396474033414,0.0,-0.37220457239919374,-0.12837143605124435,-0.39084841014845517,0.32626815589587577,-0.06599707804127806,0.0,-0.22545113769853053,1.6911745328470442,0.04781272071940575,-0.21622542215499188,-0.39083124204042635,-1.6083261012645356,-0.09134813776859883,-0.3079728899788626
